AcX,AcY,AcZ,FSR A,FSR B
,,,,
-13912,-6940,-2956,1200,0
,,,,
-14016,-6928,-2752,1214,0
,,,,
-14108,-7064,-2908,1151,0
,,,,
-14032,-6964,-2956,1229,0
,,,,
-14168,-7108,-2928,1201,0
,,,,
-14180,-7012,-2924,1205,0
,,,,
-14296,-6680,-2708,1171,0
,,,,
-14280,-6888,-2728,1173,0
,,,,
-14220,-6716,-2512,1168,0
,,,,
-14268,-6612,-2568,1195,0
,,,,
-14128,-6668,-2528,1183,0
,,,,
-14176,-6604,-2552,1200,0
,,,,
-14052,-6776,-2652,1241,0
,,,,
-14056,-6800,-2756,1174,0
,,,,
-14068,-6852,-2712,1193,0
,,,,
-13928,-6884,-2776,1195,0
,,,,
-14020,-6760,-2728,1199,0
,,,,
-13648,-6788,-2952,1239,0
,,,,
-13828,-6732,-2820,1203,0
,,,,
-13768,-6820,-2964,1198,0
,,,,
-13756,-6764,-2972,1195,0
,,,,
-13744,-6956,-2936,1197,0
,,,,
-13808,-6940,-2852,1165,0
,,,,
-13948,-6948,-2944,1200,0
,,,,
-14036,-6916,-2764,1198,0
,,,,
-14152,-6816,-2568,1193,0
,,,,
-14108,-6632,-2704,1200,0
,,,,
-14176,-6772,-2652,1168,0
,,,,
-14208,-6708,-2544,1198,0
,,,,
-14300,-6640,-2540,1199,0
,,,,
-14064,-6620,-2664,1200,0
,,,,
-13984,-6520,-2664,1200,0
,,,,
-14072,-6656,-2680,1218,0
,,,,
-13956,-6732,-2924,1197,0
,,,,
-13984,-6880,-2920,1190,0
,,,,
-14020,-6944,-3032,1200,0
,,,,
-13876,-6848,-3092,1201,0
,,,,
-13888,-6920,-3016,1214,0
,,,,
-14008,-6912,-3164,1202,0
,,,,
-13972,-7048,-2948,1200,0
,,,,
-14092,-6956,-2948,1202,0
,,,,
-14152,-6848,-3000,1200,0
,,,,
-14116,-7044,-3004,1206,0
,,,,
-14280,-6992,-2904,1200,0
,,,,
-14316,-7036,-2716,1202,0
,,,,
-14312,-7120,-2612,1202,0
,,,,
-14320,-7128,-2800,1212,0
,,,,
-14216,-6872,-2652,1202,0
,,,,
-14048,-6820,-2608,1200,0
,,,,
-14072,-6608,-2572,1200,0
,,,,
-13900,-6652,-2476,1195,0
,,,,
-13696,-6948,-2576,1205,0
,,,,
-13572,-7032,-2888,1175,0
,,,,
-13644,-7140,-2936,1203,0
,,,,
-13752,-7268,-2936,1203,0
,,,,
-13572,-7292,-3156,1206,0
,,,,
-13820,-7204,-3188,1201,0
,,,,
-13880,-7196,-3132,1216,0
,,,,
-13932,-6992,-3168,1203,0
,,,,
-13968,-6948,-2972,1211,0
,,,,
-14068,-7004,-2780,1189,0
,,,,
-14112,-6796,-2720,1200,0
,,,,
-14184,-6828,-2804,1232,0
,,,,
-14116,-6744,-2720,1202,0
,,,,
-14276,-6756,-2540,1203,0
,,,,
-14224,-6744,-2616,1196,0
,,,,
-14104,-6756,-2728,1206,0
,,,,
-14172,-6832,-2684,1202,0
,,,,
-13928,-6764,-2740,1206,0
,,,,
-13928,-6836,-2756,1206,0
,,,,
-14024,-6748,-2840,1227,0
,,,,
-13896,-6736,-2884,1205,0
,,,,
-13828,-6888,-3012,1209,0
,,,,
-13872,-6932,-2944,1212,0
,,,,
-13932,-6956,-2764,1210,0
,,,,
-13956,-6908,-2876,1211,0
,,,,
-14072,-6900,-2860,1206,0
,,,,
-14100,-6948,-2700,1202,0
,,,,
-14136,-6804,-2608,1207,0
,,,,
-14168,-6812,-2644,1210,0
,,,,
-14192,-6904,-2708,1216,0
,,,,
-14268,-6880,-2720,1212,0
,,,,
-14352,-6792,-2680,1216,0
,,,,
-14220,-6892,-2540,1206,0
,,,,
-14228,-6884,-2688,1213,0
,,,,
-14272,-6848,-2420,1203,0
,,,,
-14212,-6932,-2624,1201,0
,,,,
-14256,-6880,-2576,1196,0
,,,,
-14172,-6808,-2528,1214,0
,,,,
-14148,-6816,-2460,1210,0
,,,,
-14060,-6848,-2560,1202,0
,,,,
-14028,-6904,-2304,1198,0
,,,,
-14068,-6924,-2448,1206,0
,,,,
-13996,-6964,-2504,1207,0
,,,,
-13968,-6940,-2484,1214,0
,,,,
-13992,-6912,-2404,1203,0
,,,,
-14040,-7040,-2548,1232,0
,,,,
-14036,-6992,-2320,1232,0
,,,,
-14112,-7116,-2432,1209,0
,,,,
-14124,-7104,-2432,1215,0
,,,,
-14000,-7028,-2464,1196,0
,,,,
-14104,-6908,-2460,1242,0
,,,,
-14088,-6944,-2428,1230,0
,,,,
-14092,-6828,-2500,1210,0
,,,,
-13992,-6916,-2592,1205,0
,,,,
-13916,-6792,-2592,1200,0
,,,,
-14076,-6784,-2720,1200,0
,,,,
-14032,-6712,-2668,1202,0
,,,,
-13984,-6604,-2620,1211,0
,,,,
-13932,-6696,-2700,1215,0
,,,,
-13924,-6724,-2780,1203,0
,,,,
-13940,-6644,-2712,1201,0
,,,,
-14060,-6792,-2980,1217,0
,,,,
-14044,-6832,-2852,1200,0
,,,,
-14072,-6844,-2852,1211,0
,,,,
-14208,-6828,-2844,1205,0
,,,,
-14212,-6780,-2776,1230,0
,,,,
-14060,-6996,-2732,1247,0
,,,,
-14220,-6928,-2780,1205,0
,,,,
-14164,-6832,-2732,1213,0
,,,,
-14148,-6884,-2744,1209,0
,,,,
-14164,-6700,-2732,1243,0
,,,,
-14068,-6800,-2808,1183,0
,,,,
