,AcX,AcY,AcZ,FSR A,FSR B,Gesture,Position
1,-13912.0,-6940.0,-2956.0,1200.0,0.0,0,1.0
3,-14016.0,-6928.0,-2752.0,1214.0,0.0,0,1.0
5,-14108.0,-7064.0,-2908.0,1151.0,0.0,0,1.0
7,-14032.0,-6964.0,-2956.0,1229.0,0.0,0,1.0
9,-14168.0,-7108.0,-2928.0,1201.0,0.0,0,1.0
11,-14180.0,-7012.0,-2924.0,1205.0,0.0,0,1.0
13,-14296.0,-6680.0,-2708.0,1171.0,0.0,0,1.0
15,-14280.0,-6888.0,-2728.0,1173.0,0.0,0,1.0
17,-14220.0,-6716.0,-2512.0,1168.0,0.0,0,1.0
19,-14268.0,-6612.0,-2568.0,1195.0,0.0,0,1.0
21,-14128.0,-6668.0,-2528.0,1183.0,0.0,0,1.0
23,-14176.0,-6604.0,-2552.0,1200.0,0.0,0,1.0
25,-14052.0,-6776.0,-2652.0,1241.0,0.0,0,1.0
27,-14056.0,-6800.0,-2756.0,1174.0,0.0,0,1.0
29,-14068.0,-6852.0,-2712.0,1193.0,0.0,0,1.0
31,-13928.0,-6884.0,-2776.0,1195.0,0.0,0,1.0
33,-14020.0,-6760.0,-2728.0,1199.0,0.0,0,1.0
35,-13648.0,-6788.0,-2952.0,1239.0,0.0,0,1.0
37,-13828.0,-6732.0,-2820.0,1203.0,0.0,0,1.0
39,-13768.0,-6820.0,-2964.0,1198.0,0.0,0,1.0
41,-13756.0,-6764.0,-2972.0,1195.0,0.0,0,1.0
43,-13744.0,-6956.0,-2936.0,1197.0,0.0,0,1.0
45,-13808.0,-6940.0,-2852.0,1165.0,0.0,0,1.0
47,-13948.0,-6948.0,-2944.0,1200.0,0.0,0,1.0
49,-14036.0,-6916.0,-2764.0,1198.0,0.0,0,1.0
51,-14152.0,-6816.0,-2568.0,1193.0,0.0,0,1.0
53,-14108.0,-6632.0,-2704.0,1200.0,0.0,0,1.0
55,-14176.0,-6772.0,-2652.0,1168.0,0.0,0,1.0
57,-14208.0,-6708.0,-2544.0,1198.0,0.0,0,1.0
59,-14300.0,-6640.0,-2540.0,1199.0,0.0,0,1.0
61,-14064.0,-6620.0,-2664.0,1200.0,0.0,0,1.0
63,-13984.0,-6520.0,-2664.0,1200.0,0.0,0,1.0
65,-14072.0,-6656.0,-2680.0,1218.0,0.0,0,1.0
67,-13956.0,-6732.0,-2924.0,1197.0,0.0,0,1.0
69,-13984.0,-6880.0,-2920.0,1190.0,0.0,0,1.0
71,-14020.0,-6944.0,-3032.0,1200.0,0.0,0,1.0
73,-13876.0,-6848.0,-3092.0,1201.0,0.0,0,1.0
75,-13888.0,-6920.0,-3016.0,1214.0,0.0,0,1.0
77,-14008.0,-6912.0,-3164.0,1202.0,0.0,0,1.0
79,-13972.0,-7048.0,-2948.0,1200.0,0.0,0,1.0
81,-14092.0,-6956.0,-2948.0,1202.0,0.0,0,1.0
83,-14152.0,-6848.0,-3000.0,1200.0,0.0,0,1.0
85,-14116.0,-7044.0,-3004.0,1206.0,0.0,0,1.0
87,-14280.0,-6992.0,-2904.0,1200.0,0.0,0,1.0
89,-14316.0,-7036.0,-2716.0,1202.0,0.0,0,1.0
91,-14312.0,-7120.0,-2612.0,1202.0,0.0,0,1.0
93,-14320.0,-7128.0,-2800.0,1212.0,0.0,0,1.0
95,-14216.0,-6872.0,-2652.0,1202.0,0.0,0,1.0
97,-14048.0,-6820.0,-2608.0,1200.0,0.0,0,1.0
99,-14072.0,-6608.0,-2572.0,1200.0,0.0,0,1.0
101,-13900.0,-6652.0,-2476.0,1195.0,0.0,0,1.0
103,-13696.0,-6948.0,-2576.0,1205.0,0.0,0,1.0
105,-13572.0,-7032.0,-2888.0,1175.0,0.0,0,1.0
107,-13644.0,-7140.0,-2936.0,1203.0,0.0,0,1.0
109,-13752.0,-7268.0,-2936.0,1203.0,0.0,0,1.0
111,-13572.0,-7292.0,-3156.0,1206.0,0.0,0,1.0
113,-13820.0,-7204.0,-3188.0,1201.0,0.0,0,1.0
115,-13880.0,-7196.0,-3132.0,1216.0,0.0,0,1.0
117,-13932.0,-6992.0,-3168.0,1203.0,0.0,0,1.0
119,-13968.0,-6948.0,-2972.0,1211.0,0.0,0,1.0
121,-14068.0,-7004.0,-2780.0,1189.0,0.0,0,1.0
123,-14112.0,-6796.0,-2720.0,1200.0,0.0,0,1.0
125,-14184.0,-6828.0,-2804.0,1232.0,0.0,0,1.0
127,-14116.0,-6744.0,-2720.0,1202.0,0.0,0,1.0
129,-14276.0,-6756.0,-2540.0,1203.0,0.0,0,1.0
131,-14224.0,-6744.0,-2616.0,1196.0,0.0,0,1.0
133,-14104.0,-6756.0,-2728.0,1206.0,0.0,0,1.0
135,-14172.0,-6832.0,-2684.0,1202.0,0.0,0,1.0
137,-13928.0,-6764.0,-2740.0,1206.0,0.0,0,1.0
139,-13928.0,-6836.0,-2756.0,1206.0,0.0,0,1.0
141,-14024.0,-6748.0,-2840.0,1227.0,0.0,0,1.0
143,-13896.0,-6736.0,-2884.0,1205.0,0.0,0,1.0
145,-13828.0,-6888.0,-3012.0,1209.0,0.0,0,1.0
147,-13872.0,-6932.0,-2944.0,1212.0,0.0,0,1.0
149,-13932.0,-6956.0,-2764.0,1210.0,0.0,0,1.0
151,-13956.0,-6908.0,-2876.0,1211.0,0.0,0,1.0
153,-14072.0,-6900.0,-2860.0,1206.0,0.0,0,1.0
155,-14100.0,-6948.0,-2700.0,1202.0,0.0,0,1.0
157,-14136.0,-6804.0,-2608.0,1207.0,0.0,0,1.0
159,-14168.0,-6812.0,-2644.0,1210.0,0.0,0,1.0
161,-14192.0,-6904.0,-2708.0,1216.0,0.0,0,1.0
163,-14268.0,-6880.0,-2720.0,1212.0,0.0,0,1.0
165,-14352.0,-6792.0,-2680.0,1216.0,0.0,0,1.0
167,-14220.0,-6892.0,-2540.0,1206.0,0.0,0,1.0
169,-14228.0,-6884.0,-2688.0,1213.0,0.0,0,1.0
171,-14272.0,-6848.0,-2420.0,1203.0,0.0,0,1.0
173,-14212.0,-6932.0,-2624.0,1201.0,0.0,0,1.0
175,-14256.0,-6880.0,-2576.0,1196.0,0.0,0,1.0
177,-14172.0,-6808.0,-2528.0,1214.0,0.0,0,1.0
179,-14148.0,-6816.0,-2460.0,1210.0,0.0,0,1.0
181,-14060.0,-6848.0,-2560.0,1202.0,0.0,0,1.0
183,-14028.0,-6904.0,-2304.0,1198.0,0.0,0,1.0
185,-14068.0,-6924.0,-2448.0,1206.0,0.0,0,1.0
187,-13996.0,-6964.0,-2504.0,1207.0,0.0,0,1.0
189,-13968.0,-6940.0,-2484.0,1214.0,0.0,0,1.0
191,-13992.0,-6912.0,-2404.0,1203.0,0.0,0,1.0
193,-14040.0,-7040.0,-2548.0,1232.0,0.0,0,1.0
195,-14036.0,-6992.0,-2320.0,1232.0,0.0,0,1.0
197,-14112.0,-7116.0,-2432.0,1209.0,0.0,0,1.0
199,-14124.0,-7104.0,-2432.0,1215.0,0.0,0,1.0
201,-14000.0,-7028.0,-2464.0,1196.0,0.0,0,1.0
203,-14104.0,-6908.0,-2460.0,1242.0,0.0,0,1.0
205,-14088.0,-6944.0,-2428.0,1230.0,0.0,0,1.0
207,-14092.0,-6828.0,-2500.0,1210.0,0.0,0,1.0
209,-13992.0,-6916.0,-2592.0,1205.0,0.0,0,1.0
211,-13916.0,-6792.0,-2592.0,1200.0,0.0,0,1.0
213,-14076.0,-6784.0,-2720.0,1200.0,0.0,0,1.0
215,-14032.0,-6712.0,-2668.0,1202.0,0.0,0,1.0
217,-13984.0,-6604.0,-2620.0,1211.0,0.0,0,1.0
